Italian,English
vostro,your
mani,hands
neanche,not even
dall',from
dottore,doctor
quale,Which
abbastanza,Enough
tardi,late
bel,nice
cuore,Heart
famiglia,family
far,do
stati,States
aiuto,help
diavolo,devil
nostri,our
col,with the
quasi,Almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,While
scusa,Excuse me
sola,lonely
spero,I hope
quelle,those
trovare,find
giro,tour
anch',too
guerra,war
sue,his
bambino,child
strada,street
vecchio,old
fratello,Brother
acqua,waterfall
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,your
veramente,Truly
finito,finished
marito,Husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,backwards
stessa,same
importa,it matters
nessun,no
punto,point
invece,Instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speaks
farò,lighthouse
cercando,looking for
verità,truth
andato,left
quell',that'
re,king
fanno,they do
potrei,I could
importante,important
quest',this
amo,I love
chiesto,asked
cosi,Like this
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,you take
dietro,behind
sapevo,I knew
buongiorno,Good morning
passato,past
dollari,dollars
com',as
pure,mashed potato
pensare,think
cinque,five
vicino,Neighbor
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,live
colpa,guilt
portato,carried
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,difficult
settimana,week
ultima,last
dovrei,I should
fatta,made
conto,I count
stanza,room
fra,between
comunque,Anyway
sentire,feel
numero,number
parlato,spoke
mente,mind
messo,put in order
strano,strange
fortuna,fortune
perdere,LOSE
tue,your
né,neither
figlia,Daughter
molti,many
volete,you want
dottor,Doctor
parola,word
signori,gentlemen
andata,outward
vista,view
vede,see
nessuna,none
finché,until
dare,give
dammi,give me
mesi,months
fuoco,fire
voleva,he wanted
mangiare,eat
lasciato,left
figli,children
serio,serious
paese,village
farà,will make
capire,understand
mezzo,half
prova,trial
cara,Dear
perche',Why'
cane,dog
dimmi,Tell me
fossi,dive
senso,sense
James,James
riesco,I am able to
ieri,Yesterday
possa,can
potuto,could
scuola,school
possono,can
lavorare,work
significa,it means
resto,rest
vada,go
piccola,small
pare,it seems
bere,drinking
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,how many
gran,large
attimo,moment
ascolta,Listen
agli,to
dovresti,you should
corpo,body
musica,music
gioco,game
qual,that
aria,air
sarò,I will be
farmi,make me
magari,Perhaps
davanti,in front of
new,new
chiamo,call
genere,type 
libro,book
domanda,request
chiamato,called
passare,pass
dalle,give her
campo,field
lungo,long
torna,back
paio,pair
stava,was
finita,finite
saranno,they will be
vogliono,they want
hey,Hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,stia
signorina,Miss
festa,party
spiace,unpleasant
sopra,above
bisogna,must
vuol,vuol
telefono,telephone
affari,business
facile,easy
parlando,speaking
caro,Dear
sui,on
pronti,ready
restare,remain
attenzione,Attention
crede,you think
nostre,our
controllo,check
molte,many
unica,unique
dovremmo,we should
farti,make you
soltanto,only
piu',more'
buono,Good
puttana,whore
vivo,I live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,Very well
Harry,Harry
foto,photo
unico,unique
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,they are
ufficio,office
entra,enter
chiedo,I ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I believed
voglia,wants
potremmo,we could
esatto,Exactly
credere,believe
tratta,deals with
eravamo,we were
arrivato,arrived
bambina,girl
pistola,pistol
voce,voice
dormire,sleep
lasci,leave
avessi,had
chiaro,clear
aspetto,I wait
squadra,squad
attento,careful
cerca,near
ordine,order
Joey,Joey
arrivederci,Until we meet again
arriva,he arrives
armi,weapons
sulle,on
ormai,at this point
maggiore,greater
fretta,rush
sarai,you will be
sacco,sack
fatti,facts
parli,you speak
colpo,hit
sarei,I would be
caffè,coffee
capisci,you understand
dicendo,saying
vostri,your
camera,room
alcuni,some
cercare,look for
arrivo,I arrive
aspettare,wait
situazione,situation
faremo,we will do
deciso,decided
esattamente,Exactly
dev',it must
addio,Goodbye
scena,scene
inglese,English
perfetto,Perfect
potete,you can
fammi,do for me
alto,high
dello,of the
prendo,I take
conosci,you know
be',well
sapete,you know
pazzo,crazy
chiami,who do you Love
tornato,got back
sicura,safe
lasciare,leave
capelli,hair
potere,candies
avevi,you had
morti,dead
avrà,will have
fantastico,Fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,aspect
torno,back
arrivare,arrive
guai,trouble
trova,finds
motivo,reason
resta,remain
inizio,start
smettila,stop that
diventare,become
potresti,you could
voluto,wanted
vanno,they go
disse,She said
morta,dead
de,de
bagno,bath
zio,Uncle
futuro,future
sbagliato,wrong
guardi,look
cosi',Like this'
sicurezza,safety
pezzo,piece
devono,they have to
venuta,coming
allo,at the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hate
sull',on
giocare,play
lontano,distant
durante,during
segreto,secret
sole,Sun
mettere,put
venite,come
dirmi,tell me
sistema,system
viaggio,voyage
causa,cause
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,fun
avresti,you would have
grandi,big
presidente,president
bocca,mouth
permesso,permit
vecchia,old
culo,ass
sogno,dream
glielo,it
guardare,watch
probabilmente,probably
vengo,I come
lasciami,leave me
negli,in
do,do
fermo,stopped
zitto,Shut up
vera,real
tante,many
colonnello,colonel
stupido,stupid
Cristo,Christ
conosce,know
fame,hunger
cura,treatment
prigione,prison
finire,finish
farai,you will do
buonanotte,Good night
Tom,Tom
prossima,next
brava,Good
specie,species
prende,takes
piacerebbe,would like
circa,about
funziona,works
dovete,you have to
brutto,ugly
vattene,get out
sente,feel
cavallo,horse
peccato,Sin
mattina,morning
consiglio,advise
cambiare,change
saperlo,know it
usare,use
naturalmente,naturally
continua,continues
scelta,choice
possibilità,possibility
spesso,Often
dà,from
dirti,tell you
piuttosto,rather
trovo,I find
fondo,bottom
ricorda,remember
guardate,watch
ospedale,hospital
qualunque,anyone
Maria,Maria
andrà,will go
legge,law
agente,agent
oltre,beyond
avesse,had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,he did
energia,power
incredibile,incredible
sala,room
mandato,mandate
chiamare,call
doveva,where you go
libero,free
aereo,airplane
ricevuto,received
porti,port
preoccuparti,worry
finalmente,finally
quali,which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,you put
Henry,Henry
programma,plan
poteva,he could
parti,set off
saputo,known
partita,match
gentile,Kind
poter,being able
freddo,Freddo
piacciono,like
Clark,Clark
vederti,see you
domande,requests
peggio,worse
sanno,they know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,Good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how much it is
pieno,full
rapporto,relationship
avrai,you will have
alcune,someone
provare,try
carino,cute
scoperto,discovery
America,America
denaro,money
compagnia,company
interessante,Interesting
avvocato,lawyer
vestito,dress
ottimo,Optimal
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,succeeding
mese,month
impossibile,impossible
chiunque,whoever
vale,vale
nello,in
milioni,millions
cibo,food
tempi,time
jim,jim
piu,more
laggiù,over there
intorno,environment
servono,need
chiave,key
coi,with
diritto,right
dimenticato,forgotten
ve,ve
natale,Christmas
calma,calm
altrimenti,otherwise
Miss,Miss
provato,tried
dirlo,make him
cinema,cinema
chiedere,ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
pagare,pay
pianeta,planet
fronte,forehead
addosso,on
entrambi,both
dia,diamond
cambiato,changed
interessa,interest
assolutamente,absolutely
risposta,answer
rispetto,respect
pena,penalty
Gesù,Jesus
Michael,Michael
incontro,encounter
cercato,looked for
occhiata,look
pensando,think
cioè,Meaning what
the,tea
notizie,news
sorpresa,surprise
bastardo,Bastard
salute,Health
lettera,letter
incidente,accident
grosso,big
soli,suns
mica,not
sembrava,It seemed
grado,grade
aiutare,help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,He knew
santo,holy
verrà,it will come
saremo,we will be
speciale,special
diceva,he said
posizione,position
gruppo,group
giuro,I swear
